YEAR,FL_DATE,ORIGIN_STATE,FLIGHT_COUNT
2019,2019-04-01,Alabama,131
2019,2019-04-01,Alaska,106
2019,2019-04-01,Arizona,629
2019,2019-04-01,Arkansas,97
2019,2019-04-01,California,2481
2019,2019-04-01,Colorado,871
2019,2019-04-01,Connecticut,93
2019,2019-04-01,Florida,1817
2019,2019-04-01,Georgia,1243
2019,2019-04-01,Hawaii,326
2019,2019-04-01,Idaho,89
2019,2019-04-01,Illinois,1430
2019,2019-04-01,Indiana,219
2019,2019-04-01,Iowa,93
2019,2019-04-01,Kansas,49
2019,2019-04-01,Kentucky,275
2019,2019-04-01,Louisiana,251
2019,2019-04-01,Maine,53
2019,2019-04-01,Maryland,306
2019,2019-04-01,Massachusetts,458
2019,2019-04-01,Michigan,669
2019,2019-04-01,Minnesota,509
2019,2019-04-01,Mississippi,44
2019,2019-04-01,Missouri,438
2019,2019-04-01,Montana,76
2019,2019-04-01,Nebraska,102
2019,2019-04-01,Nevada,549
2019,2019-04-01,New Hampshire,30
2019,2019-04-01,New Jersey,480
2019,2019-04-01,New Mexico,84
2019,2019-04-01,New York,1242
2019,2019-04-01,North Carolina,1057
2019,2019-04-01,North Dakota,64
2019,2019-04-01,Ohio,384
2019,2019-04-01,Oklahoma,134
2019,2019-04-01,Oregon,314
2019,2019-04-01,Pennsylvania,676
2019,2019-04-01,Puerto Rico,78
2019,2019-04-01,Rhode Island,57
2019,2019-04-01,South Carolina,197
2019,2019-04-01,South Dakota,38
2019,2019-04-01,Tennessee,425
2019,2019-04-01,Texas,2269
2019,2019-04-01,U.S. Pacific Trust Territories and Possessions,4
2019,2019-04-01,U.S. Virgin Islands,15
2019,2019-04-01,Utah,376
2019,2019-04-01,Vermont,33
2019,2019-04-01,Virginia,917
2019,2019-04-01,Washington,644
2019,2019-04-01,West Virginia,25
2019,2019-04-01,Wisconsin,221
2019,2019-04-01,Wyoming,24
2019,2019-04-02,Alabama,124
2019,2019-04-02,Alaska,102
2019,2019-04-02,Arizona,614
2019,2019-04-02,Arkansas,94
2019,2019-04-02,California,2397
2019,2019-04-02,Colorado,807
2019,2019-04-02,Connecticut,91
2019,2019-04-02,Florida,1723
2019,2019-04-02,Georgia,1219
2019,2019-04-02,Hawaii,308
2019,2019-04-02,Idaho,84
2019,2019-04-02,Illinois,1403
2019,2019-04-02,Indiana,217
2019,2019-04-02,Iowa,92
2019,2019-04-02,Kansas,48
2019,2019-04-02,Kentucky,261
2019,2019-04-02,Louisiana,242
2019,2019-04-02,Maine,53
2019,2019-04-02,Maryland,301
2019,2019-04-02,Massachusetts,448
2019,2019-04-02,Michigan,654
2019,2019-04-02,Minnesota,492
2019,2019-04-02,Mississippi,44
2019,2019-04-02,Missouri,428
2019,2019-04-02,Montana,75
2019,2019-04-02,Nebraska,96
2019,2019-04-02,Nevada,502
2019,2019-04-02,New Hampshire,29
2019,2019-04-02,New Jersey,475
2019,2019-04-02,New Mexico,78
2019,2019-04-02,New York,1207
2019,2019-04-02,North Carolina,1037
2019,2019-04-02,North Dakota,62
2019,2019-04-02,Ohio,372
2019,2019-04-02,Oklahoma,129
2019,2019-04-02,Oregon,299
2019,2019-04-02,Pennsylvania,681
2019,2019-04-02,Puerto Rico,76
2019,2019-04-02,Rhode Island,58
2019,2019-04-02,South Carolina,190
2019,2019-04-02,South Dakota,37
2019,2019-04-02,Tennessee,403
2019,2019-04-02,Texas,2171
2019,2019-04-02,U.S. Pacific Trust Territories and Possessions,3
2019,2019-04-02,U.S. Virgin Islands,15
2019,2019-04-02,Utah,351
2019,2019-04-02,Vermont,32
2019,2019-04-02,Virginia,902
2019,2019-04-02,Washington,626
2019,2019-04-02,West Virginia,24
2019,2019-04-02,Wisconsin,214
2019,2019-04-02,Wyoming,23
2019,2019-04-03,Alabama,128
2019,2019-04-03,Alaska,103
2019,2019-04-03,Arizona,618
2019,2019-04-03,Arkansas,98
2019,2019-04-03,California,2433
2019,2019-04-03,Colorado,831
2019,2019-04-03,Connecticut,92
2019,2019-04-03,Florida,1757
2019,2019-04-03,Georgia,1222
2019,2019-04-03,Hawaii,317
2019,2019-04-03,Idaho,83
2019,2019-04-03,Illinois,1423
2019,2019-04-03,Indiana,218
2019,2019-04-03,Iowa,93
2019,2019-04-03,Kansas,47
2019,2019-04-03,Kentucky,272
2019,2019-04-03,Louisiana,246
2019,2019-04-03,Maine,54
2019,2019-04-03,Maryland,303
2019,2019-04-03,Massachusetts,454
2019,2019-04-03,Michigan,660
2019,2019-04-03,Minnesota,496
2019,2019-04-03,Mississippi,45
2019,2019-04-03,Missouri,431
2019,2019-04-03,Montana,74
2019,2019-04-03,Nebraska,100
2019,2019-04-03,Nevada,523
2019,2019-04-03,New Hampshire,30
2019,2019-04-03,New Jersey,474
2019,2019-04-03,New Mexico,78
2019,2019-04-03,New York,1218
2019,2019-04-03,North Carolina,1062
2019,2019-04-03,North Dakota,67
2019,2019-04-03,Ohio,370
2019,2019-04-03,Oklahoma,129
2019,2019-04-03,Oregon,299
2019,2019-04-03,Pennsylvania,691
2019,2019-04-03,Puerto Rico,75
2019,2019-04-03,Rhode Island,57
2019,2019-04-03,South Carolina,197
2019,2019-04-03,South Dakota,43
2019,2019-04-03,Tennessee,414
2019,2019-04-03,Texas,2200
2019,2019-04-03,U.S. Pacific Trust Territories and Possessions,3
2019,2019-04-03,U.S. Virgin Islands,13
2019,2019-04-03,Utah,357
2019,2019-04-03,Vermont,33
2019,2019-04-03,Virginia,908
2019,2019-04-03,Washington,636
2019,2019-04-03,West Virginia,22
2019,2019-04-03,Wisconsin,221
2019,2019-04-03,Wyoming,21
2019,2019-04-04,Alabama,132
2019,2019-04-04,Alaska,105
2019,2019-04-04,Arizona,630
2019,2019-04-04,Arkansas,102
2019,2019-04-04,California,2501
2019,2019-04-04,Colorado,856
2019,2019-04-04,Connecticut,93
2019,2019-04-04,Florida,1793
2019,2019-04-04,Georgia,1239
2019,2019-04-04,Hawaii,324
2019,2019-04-04,Idaho,88
2019,2019-04-04,Illinois,1448
2019,2019-04-04,Indiana,220
2019,2019-04-04,Iowa,94
2019,2019-04-04,Kansas,50
2019,2019-04-04,Kentucky,276
2019,2019-04-04,Louisiana,255
2019,2019-04-04,Maine,51
2019,2019-04-04,Maryland,307
2019,2019-04-04,Massachusetts,465
2019,2019-04-04,Michigan,668
2019,2019-04-04,Minnesota,502
2019,2019-04-04,Mississippi,45
2019,2019-04-04,Missouri,436
2019,2019-04-04,Montana,77
2019,2019-04-04,Nebraska,105
2019,2019-04-04,Nevada,553
2019,2019-04-04,New Hampshire,29
2019,2019-04-04,New Jersey,485
2019,2019-04-04,New Mexico,83
2019,2019-04-04,New York,1241
2019,2019-04-04,North Carolina,1074
2019,2019-04-04,North Dakota,69
2019,2019-04-04,Ohio,383
2019,2019-04-04,Oklahoma,136
2019,2019-04-04,Oregon,312
2019,2019-04-04,Pennsylvania,706
2019,2019-04-04,Puerto Rico,75
2019,2019-04-04,Rhode Island,58
2019,2019-04-04,South Carolina,201
2019,2019-04-04,South Dakota,44
2019,2019-04-04,Tennessee,426
2019,2019-04-04,Texas,2293
2019,2019-04-04,U.S. Pacific Trust Territories and Possessions,6
2019,2019-04-04,U.S. Virgin Islands,15
2019,2019-04-04,Utah,364
2019,2019-04-04,Vermont,34
2019,2019-04-04,Virginia,928
2019,2019-04-04,Washington,646
2019,2019-04-04,West Virginia,25
2019,2019-04-04,Wisconsin,220
2019,2019-04-04,Wyoming,22
2019,2019-04-05,Alabama,131
2019,2019-04-05,Alaska,105
2019,2019-04-05,Arizona,636
2019,2019-04-05,Arkansas,102
2019,2019-04-05,California,2504
2019,2019-04-05,Colorado,856
2019,2019-04-05,Connecticut,93
2019,2019-04-05,Florida,1805
2019,2019-04-05,Georgia,1239
2019,2019-04-05,Hawaii,333
2019,2019-04-05,Idaho,87
2019,2019-04-05,Illinois,1446
2019,2019-04-05,Indiana,220
2019,2019-04-05,Iowa,94
2019,2019-04-05,Kansas,49
2019,2019-04-05,Kentucky,280
2019,2019-04-05,Louisiana,255
2019,2019-04-05,Maine,54
2019,2019-04-05,Maryland,309
2019,2019-04-05,Massachusetts,465
2019,2019-04-05,Michigan,672
2019,2019-04-05,Minnesota,504
2019,2019-04-05,Mississippi,46
2019,2019-04-05,Missouri,437
2019,2019-04-05,Montana,77
2019,2019-04-05,Nebraska,101
2019,2019-04-05,Nevada,562
2019,2019-04-05,New Hampshire,30
2019,2019-04-05,New Jersey,482
2019,2019-04-05,New Mexico,86
2019,2019-04-05,New York,1242
2019,2019-04-05,North Carolina,1074
2019,2019-04-05,North Dakota,65
2019,2019-04-05,Ohio,380
2019,2019-04-05,Oklahoma,138
2019,2019-04-05,Oregon,313
2019,2019-04-05,Pennsylvania,704
2019,2019-04-05,Puerto Rico,81
2019,2019-04-05,Rhode Island,58
2019,2019-04-05,South Carolina,204
2019,2019-04-05,South Dakota,44
2019,2019-04-05,Tennessee,432
2019,2019-04-05,Texas,2301
2019,2019-04-05,U.S. Pacific Trust Territories and Possessions,3
2019,2019-04-05,U.S. Virgin Islands,14
2019,2019-04-05,Utah,370
2019,2019-04-05,Vermont,33
2019,2019-04-05,Virginia,922
2019,2019-04-05,Washington,644
2019,2019-04-05,West Virginia,25
2019,2019-04-05,Wisconsin,224
2019,2019-04-05,Wyoming,22
2019,2019-04-06,Alabama,92
2019,2019-04-06,Alaska,96
2019,2019-04-06,Arizona,603
2019,2019-04-06,Arkansas,69
2019,2019-04-06,California,1997
2019,2019-04-06,Colorado,743
2019,2019-04-06,Connecticut,85
2019,2019-04-06,Florida,1894
2019,2019-04-06,Georgia,953
2019,2019-04-06,Hawaii,333
2019,2019-04-06,Idaho,71
2019,2019-04-06,Illinois,1190
2019,2019-04-06,Indiana,190
2019,2019-04-06,Iowa,72
2019,2019-04-06,Kansas,35
2019,2019-04-06,Kentucky,207
2019,2019-04-06,Louisiana,213
2019,2019-04-06,Maine,48
2019,2019-04-06,Maryland,265
2019,2019-04-06,Massachusetts,326
2019,2019-04-06,Michigan,475
2019,2019-04-06,Minnesota,356
2019,2019-04-06,Mississippi,35
2019,2019-04-06,Missouri,336
2019,2019-04-06,Montana,64
2019,2019-04-06,Nebraska,78
2019,2019-04-06,Nevada,467
2019,2019-04-06,New Hampshire,28
2019,2019-04-06,New Jersey,383
2019,2019-04-06,New Mexico,70
2019,2019-04-06,New York,901
2019,2019-04-06,North Carolina,886
2019,2019-04-06,North Dakota,53
2019,2019-04-06,Ohio,291
2019,2019-04-06,Oklahoma,106
2019,2019-04-06,Oregon,245
2019,2019-04-06,Pennsylvania,568
2019,2019-04-06,Puerto Rico,89
2019,2019-04-06,Rhode Island,50
2019,2019-04-06,South Carolina,174
2019,2019-04-06,South Dakota,40
2019,2019-04-06,Tennessee,333
2019,2019-04-06,Texas,1846
2019,2019-04-06,U.S. Pacific Trust Territories and Possessions,3
2019,2019-04-06,U.S. Virgin Islands,18
2019,2019-04-06,Utah,280
2019,2019-04-06,Vermont,32
2019,2019-04-06,Virginia,703
2019,2019-04-06,Washington,551
2019,2019-04-06,West Virginia,17
2019,2019-04-06,Wisconsin,182
2019,2019-04-06,Wyoming,20
2019,2019-04-07,Alabama,123
2019,2019-04-07,Alaska,96
2019,2019-04-07,Arizona,623
2019,2019-04-07,Arkansas,95
2019,2019-04-07,California,2361
2019,2019-04-07,Colorado,827
2019,2019-04-07,Connecticut,86
2019,2019-04-07,Florida,1810
2019,2019-04-07,Georgia,1184
2019,2019-04-07,Hawaii,331
2019,2019-04-07,Idaho,87
2019,2019-04-07,Illinois,1397
2019,2019-04-07,Indiana,210
2019,2019-04-07,Iowa,91
2019,2019-04-07,Kansas,47
2019,2019-04-07,Kentucky,258
2019,2019-04-07,Louisiana,261
2019,2019-04-07,Maine,50
2019,2019-04-07,Maryland,281
2019,2019-04-07,Massachusetts,402
2019,2019-04-07,Michigan,607
2019,2019-04-07,Minnesota,476
2019,2019-04-07,Mississippi,46
2019,2019-04-07,Missouri,408
2019,2019-04-07,Montana,76
2019,2019-04-07,Nebraska,99
2019,2019-04-07,Nevada,552
2019,2019-04-07,New Hampshire,27
2019,2019-04-07,New Jersey,457
2019,2019-04-07,New Mexico,82
2019,2019-04-07,New York,1122
2019,2019-04-07,North Carolina,1021
2019,2019-04-07,North Dakota,64
2019,2019-04-07,Ohio,356
2019,2019-04-07,Oklahoma,132
2019,2019-04-07,Oregon,285
2019,2019-04-07,Pennsylvania,672
2019,2019-04-07,Puerto Rico,89
2019,2019-04-07,Rhode Island,58
2019,2019-04-07,South Carolina,198
2019,2019-04-07,South Dakota,43
2019,2019-04-07,Tennessee,410
2019,2019-04-07,Texas,2245
2019,2019-04-07,U.S. Pacific Trust Territories and Possessions,3
2019,2019-04-07,U.S. Virgin Islands,15
2019,2019-04-07,Utah,355
2019,2019-04-07,Vermont,35
2019,2019-04-07,Virginia,879
2019,2019-04-07,Washington,614
2019,2019-04-07,West Virginia,25
2019,2019-04-07,Wisconsin,206
2019,2019-04-07,Wyoming,20
2019,2019-04-08,Alabama,131
2019,2019-04-08,Alaska,106
2019,2019-04-08,Arizona,614
2019,2019-04-08,Arkansas,101
2019,2019-04-08,California,2503
2019,2019-04-08,Colorado,856
2019,2019-04-08,Connecticut,96
2019,2019-04-08,Florida,1753
2019,2019-04-08,Georgia,1244
2019,2019-04-08,Hawaii,321
2019,2019-04-08,Idaho,87
2019,2019-04-08,Illinois,1454
2019,2019-04-08,Indiana,216
2019,2019-04-08,Iowa,94
2019,2019-04-08,Kansas,49
2019,2019-04-08,Kentucky,280
2019,2019-04-08,Louisiana,254
2019,2019-04-08,Maine,54
2019,2019-04-08,Maryland,317
2019,2019-04-08,Massachusetts,474
2019,2019-04-08,Michigan,668
2019,2019-04-08,Minnesota,502
2019,2019-04-08,Mississippi,45
2019,2019-04-08,Missouri,430
2019,2019-04-08,Montana,76
2019,2019-04-08,Nebraska,100
2019,2019-04-08,Nevada,556
2019,2019-04-08,New Hampshire,35
2019,2019-04-08,New Jersey,482
2019,2019-04-08,New Mexico,88
2019,2019-04-08,New York,1238
2019,2019-04-08,North Carolina,1074
2019,2019-04-08,North Dakota,66
2019,2019-04-08,Ohio,378
2019,2019-04-08,Oklahoma,138
2019,2019-04-08,Oregon,310
2019,2019-04-08,Pennsylvania,705
2019,2019-04-08,Puerto Rico,80
2019,2019-04-08,Rhode Island,58
2019,2019-04-08,South Carolina,203
2019,2019-04-08,South Dakota,44
2019,2019-04-08,Tennessee,430
2019,2019-04-08,Texas,2303
2019,2019-04-08,U.S. Pacific Trust Territories and Possessions,4
2019,2019-04-08,U.S. Virgin Islands,14
2019,2019-04-08,Utah,368
2019,2019-04-08,Vermont,33
2019,2019-04-08,Virginia,924
2019,2019-04-08,Washington,647
2019,2019-04-08,West Virginia,25
2019,2019-04-08,Wisconsin,216
2019,2019-04-08,Wyoming,22
2019,2019-04-09,Alabama,123
2019,2019-04-09,Alaska,101
2019,2019-04-09,Arizona,596
2019,2019-04-09,Arkansas,95
2019,2019-04-09,California,2402
2019,2019-04-09,Colorado,807
2019,2019-04-09,Connecticut,94
2019,2019-04-09,Florida,1668
2019,2019-04-09,Georgia,1220
2019,2019-04-09,Hawaii,308
2019,2019-04-09,Idaho,84
2019,2019-04-09,Illinois,1412
2019,2019-04-09,Indiana,212
2019,2019-04-09,Iowa,88
2019,2019-04-09,Kansas,48
2019,2019-04-09,Kentucky,268
2019,2019-04-09,Louisiana,247
2019,2019-04-09,Maine,53
2019,2019-04-09,Maryland,312
2019,2019-04-09,Massachusetts,457
2019,2019-04-09,Michigan,654
2019,2019-04-09,Minnesota,490
2019,2019-04-09,Mississippi,45
2019,2019-04-09,Missouri,421
2019,2019-04-09,Montana,75
2019,2019-04-09,Nebraska,95
2019,2019-04-09,Nevada,504
2019,2019-04-09,New Hampshire,34
2019,2019-04-09,New Jersey,477
2019,2019-04-09,New Mexico,80
2019,2019-04-09,New York,1204
2019,2019-04-09,North Carolina,1042
2019,2019-04-09,North Dakota,62
2019,2019-04-09,Ohio,365
2019,2019-04-09,Oklahoma,128
2019,2019-04-09,Oregon,295
2019,2019-04-09,Pennsylvania,684
2019,2019-04-09,Puerto Rico,75
2019,2019-04-09,Rhode Island,56
2019,2019-04-09,South Carolina,189
2019,2019-04-09,South Dakota,41
2019,2019-04-09,Tennessee,411
2019,2019-04-09,Texas,2186
2019,2019-04-09,U.S. Pacific Trust Territories and Possessions,5
2019,2019-04-09,U.S. Virgin Islands,15
2019,2019-04-09,Utah,349
2019,2019-04-09,Vermont,32
2019,2019-04-09,Virginia,902
2019,2019-04-09,Washington,627
2019,2019-04-09,West Virginia,23
2019,2019-04-09,Wisconsin,206
2019,2019-04-09,Wyoming,22
2019,2019-04-10,Alabama,128
2019,2019-04-10,Alaska,102
2019,2019-04-10,Arizona,599
2019,2019-04-10,Arkansas,98
2019,2019-04-10,California,2442
2019,2019-04-10,Colorado,830
2019,2019-04-10,Connecticut,95
2019,2019-04-10,Florida,1690
2019,2019-04-10,Georgia,1226
2019,2019-04-10,Hawaii,317
2019,2019-04-10,Idaho,84
2019,2019-04-10,Illinois,1433
2019,2019-04-10,Indiana,209
2019,2019-04-10,Iowa,92
2019,2019-04-10,Kansas,47
2019,2019-04-10,Kentucky,266
2019,2019-04-10,Louisiana,249
2019,2019-04-10,Maine,55
2019,2019-04-10,Maryland,315
2019,2019-04-10,Massachusetts,463
2019,2019-04-10,Michigan,659
2019,2019-04-10,Minnesota,494
2019,2019-04-10,Mississippi,45
2019,2019-04-10,Missouri,425
2019,2019-04-10,Montana,74
2019,2019-04-10,Nebraska,99
2019,2019-04-10,Nevada,525
2019,2019-04-10,New Hampshire,36
2019,2019-04-10,New Jersey,474
2019,2019-04-10,New Mexico,81
2019,2019-04-10,New York,1219
2019,2019-04-10,North Carolina,1066
2019,2019-04-10,North Dakota,65
2019,2019-04-10,Ohio,363
2019,2019-04-10,Oklahoma,128
2019,2019-04-10,Oregon,295
2019,2019-04-10,Pennsylvania,691
2019,2019-04-10,Puerto Rico,76
2019,2019-04-10,Rhode Island,56
2019,2019-04-10,South Carolina,197
2019,2019-04-10,South Dakota,45
2019,2019-04-10,Tennessee,415
2019,2019-04-10,Texas,2209
2019,2019-04-10,U.S. Pacific Trust Territories and Possessions,3
2019,2019-04-10,U.S. Virgin Islands,13
2019,2019-04-10,Utah,355
2019,2019-04-10,Vermont,33
2019,2019-04-10,Virginia,909
2019,2019-04-10,Washington,635
2019,2019-04-10,West Virginia,22
2019,2019-04-10,Wisconsin,211
2019,2019-04-10,Wyoming,21
2019,2019-04-11,Alabama,132
2019,2019-04-11,Alaska,104
2019,2019-04-11,Arizona,615
2019,2019-04-11,Arkansas,103
2019,2019-04-11,California,2509
2019,2019-04-11,Colorado,856
2019,2019-04-11,Connecticut,96
2019,2019-04-11,Florida,1746
2019,2019-04-11,Georgia,1241
2019,2019-04-11,Hawaii,325
2019,2019-04-11,Idaho,88
2019,2019-04-11,Illinois,1455
2019,2019-04-11,Indiana,216
2019,2019-04-11,Iowa,95
2019,2019-04-11,Kansas,50
2019,2019-04-11,Kentucky,279
2019,2019-04-11,Louisiana,260
2019,2019-04-11,Maine,51
2019,2019-04-11,Maryland,319
2019,2019-04-11,Massachusetts,475
2019,2019-04-11,Michigan,665
2019,2019-04-11,Minnesota,499
2019,2019-04-11,Mississippi,45
2019,2019-04-11,Missouri,430
2019,2019-04-11,Montana,77
2019,2019-04-11,Nebraska,104
2019,2019-04-11,Nevada,553
2019,2019-04-11,New Hampshire,35
2019,2019-04-11,New Jersey,481
2019,2019-04-11,New Mexico,85
2019,2019-04-11,New York,1238
2019,2019-04-11,North Carolina,1078
2019,2019-04-11,North Dakota,68
2019,2019-04-11,Ohio,380
2019,2019-04-11,Oklahoma,135
2019,2019-04-11,Oregon,307
2019,2019-04-11,Pennsylvania,707
2019,2019-04-11,Puerto Rico,76
2019,2019-04-11,Rhode Island,57
2019,2019-04-11,South Carolina,200
2019,2019-04-11,South Dakota,44
2019,2019-04-11,Tennessee,431
2019,2019-04-11,Texas,2301
2019,2019-04-11,U.S. Pacific Trust Territories and Possessions,6
2019,2019-04-11,U.S. Virgin Islands,15
2019,2019-04-11,Utah,362
2019,2019-04-11,Vermont,33
2019,2019-04-11,Virginia,930
2019,2019-04-11,Washington,649
2019,2019-04-11,West Virginia,25
2019,2019-04-11,Wisconsin,212
2019,2019-04-11,Wyoming,22
2019,2019-04-12,Alabama,130
2019,2019-04-12,Alaska,104
2019,2019-04-12,Arizona,619
2019,2019-04-12,Arkansas,101
2019,2019-04-12,California,2512
2019,2019-04-12,Colorado,859
2019,2019-04-12,Connecticut,97
2019,2019-04-12,Florida,1750
2019,2019-04-12,Georgia,1252
2019,2019-04-12,Hawaii,332
2019,2019-04-12,Idaho,87
2019,2019-04-12,Illinois,1452
2019,2019-04-12,Indiana,214
2019,2019-04-12,Iowa,93
2019,2019-04-12,Kansas,49
2019,2019-04-12,Kentucky,279
2019,2019-04-12,Louisiana,259
2019,2019-04-12,Maine,53
2019,2019-04-12,Maryland,319
2019,2019-04-12,Massachusetts,475
2019,2019-04-12,Michigan,669
2019,2019-04-12,Minnesota,502
2019,2019-04-12,Mississippi,46
2019,2019-04-12,Missouri,431
2019,2019-04-12,Montana,77
2019,2019-04-12,Nebraska,99
2019,2019-04-12,Nevada,563
2019,2019-04-12,New Hampshire,34
2019,2019-04-12,New Jersey,481
2019,2019-04-12,New Mexico,88
2019,2019-04-12,New York,1235
2019,2019-04-12,North Carolina,1077
2019,2019-04-12,North Dakota,65
2019,2019-04-12,Ohio,376
2019,2019-04-12,Oklahoma,137
2019,2019-04-12,Oregon,309
2019,2019-04-12,Pennsylvania,704
2019,2019-04-12,Puerto Rico,82
2019,2019-04-12,Rhode Island,58
2019,2019-04-12,South Carolina,203
2019,2019-04-12,South Dakota,44
2019,2019-04-12,Tennessee,436
2019,2019-04-12,Texas,2306
2019,2019-04-12,U.S. Pacific Trust Territories and Possessions,3
2019,2019-04-12,U.S. Virgin Islands,14
2019,2019-04-12,Utah,368
2019,2019-04-12,Vermont,33
2019,2019-04-12,Virginia,924
